NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg,CALS,PRICE,CPD
Cappuccino,Small,Whole,120,7,4,0,20,85,9,0,9,6,71,120,2,35.5
Cappuccino,Small,Whole,120,7,4,0,20,85,9,0,9,6,71,160,2.79,25.44802867
Cappuccino,Small,Whole,120,7,4,0,20,85,9,0,9,6,71,210,3.19,22.25705329
Cappuccino,Medium,Whole,140,8,4.5,0,25,105,11,0,11,8,142,120,2,71
Cappuccino,Medium,Whole,140,8,4.5,0,25,105,11,0,11,8,142,160,2.79,50.89605735
Cappuccino,Medium,Whole,140,8,4.5,0,25,105,11,0,11,8,142,210,3.19,44.51410658
Cappuccino,Large,Whole,180,10,6,0,30,130,13,0,13,9,178,120,2,89
Cappuccino,Large,Whole,180,10,6,0,30,130,13,0,13,9,178,160,2.79,63.79928315
Cappuccino,Large,Whole,180,10,6,0,30,130,13,0,13,9,178,210,3.19,55.79937304
Latte,Small,Whole,150,8,4.5,0,25,105,11,0,11,8,71,140,2,35.5
Latte,Small,Whole,150,8,4.5,0,25,105,11,0,11,8,71,190,2.99,23.7458194
Latte,Small,Whole,150,8,4.5,0,25,105,11,0,11,8,71,250,3.39,20.9439528
Latte,Medium,Whole,180,10,6,0,30,130,13,0,13,10,142,140,2,71
Latte,Medium,Whole,180,10,6,0,30,130,13,0,13,10,142,190,2.99,47.4916388
Latte,Medium,Whole,180,10,6,0,30,130,13,0,13,10,142,250,3.39,41.8879056
Latte,Large,Whole,210,11,7,0,35,150,16,0,16,11,178,140,2,89
Latte,Large,Whole,210,11,7,0,35,150,16,0,16,11,178,190,2.99,59.53177258
Latte,Large,Whole,210,11,7,0,35,150,16,0,16,11,178,250,3.39,52.50737463
Caramel Cappuccino,Small,Whole,200,5,3,0,15,125,32,0,32,5,71,210,2,35.5
Caramel Cappuccino,Small,Whole,200,5,3,0,15,125,32,0,32,5,71,260,2.79,25.44802867
