NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg,CALS,PRICE,CPD,RESTAURANT
Cappuccino,Large,Nonfat,90,0,0,0,5,115,13,0,12,8,252,80,2.69,93.6802974,Dunkin
Cappuccino,Large,Nonfat,90,0,0,0,5,115,13,0,12,8,252,120,3.19,78.9968652,Dunkin
Cappuccino,Large,Nonfat,90,0,0,0,5,115,13,0,12,8,252,160,3.59,70.19498607,Dunkin
Cappuccino,Medium,Nonfat,70,0,0,0,5,85,10,0,9,6,166,80,2.69,61.71003717,Dunkin
Cappuccino,Medium,Nonfat,70,0,0,0,5,85,10,0,9,6,166,120,3.19,52.03761755,Dunkin
Cappuccino,Medium,Nonfat,70,0,0,0,5,85,10,0,9,6,166,160,3.59,46.23955432,Dunkin
Cappuccino,Small,Nonfat,45,0,0,0,0,55,7,0,6,4,118,80,2.69,43.866171,Dunkin
Cappuccino,Small,Nonfat,45,0,0,0,0,55,7,0,6,4,118,120,3.19,36.99059561,Dunkin
Cappuccino,Small,Nonfat,45,0,0,0,0,55,7,0,6,4,118,160,3.59,32.86908078,Dunkin
Cappuccino,Large,Nonfat,230,0,0,0,5,115,48,0,47,8,252,80,2.69,93.6802974,Dunkin
Cappuccino,Large,Nonfat,230,0,0,0,5,115,48,0,47,8,252,120,3.19,78.9968652,Dunkin
Cappuccino,Large,Nonfat,230,0,0,0,5,115,48,0,47,8,252,160,3.59,70.19498607,Dunkin
Cappuccino,Medium,Nonfat,170,0,0,0,5,85,36,0,35,6,166,80,2.69,61.71003717,Dunkin
Cappuccino,Medium,Nonfat,170,0,0,0,5,85,36,0,35,6,166,120,3.19,52.03761755,Dunkin
Cappuccino,Medium,Nonfat,170,0,0,0,5,85,36,0,35,6,166,160,3.59,46.23955432,Dunkin
Cappuccino,Small,Nonfat,110,0,0,0,0,55,24,0,23,4,118,80,2.69,43.866171,Dunkin
Cappuccino,Small,Nonfat,110,0,0,0,0,55,24,0,23,4,118,120,3.19,36.99059561,Dunkin
Cappuccino,Small,Nonfat,110,0,0,0,0,55,24,0,23,4,118,160,3.59,32.86908078,Dunkin
Cappuccino,Large,Whole,160,8,4.5,0,25,115,13,0,12,8,252,80,2.69,93.6802974,Dunkin
Cappuccino,Large,Whole,160,8,4.5,0,25,115,13,0,12,8,252,120,3.19,78.9968652,Dunkin
Cappuccino,Large,Whole,160,8,4.5,0,25,115,13,0,12,8,252,160,3.59,70.19498607,Dunkin
Cappuccino,Medium,Whole,120,6,3.5,0,20,85,10,0,9,6,166,80,2.69,61.71003717,Dunkin
Cappuccino,Medium,Whole,120,6,3.5,0,20,85,10,0,9,6,166,120,3.19,52.03761755,Dunkin
Cappuccino,Medium,Whole,120,6,3.5,0,20,85,10,0,9,6,166,160,3.59,46.23955432,Dunkin
Cappuccino,Small,Whole,80,4,2.5,0,10,60,7,0,6,4,118,80,2.69,43.866171,Dunkin
Cappuccino,Small,Whole,80,4,2.5,0,10,60,7,0,6,4,118,120,3.19,36.99059561,Dunkin
Cappuccino,Small,Whole,80,4,2.5,0,10,60,7,0,6,4,118,160,3.59,32.86908078,Dunkin
Cappuccino,Large,Whole,290,8,4.5,0,25,115,48,0,46,8,252,80,2.69,93.6802974,Dunkin
Cappuccino,Large,Whole,290,8,4.5,0,25,115,48,0,46,8,252,120,3.19,78.9968652,Dunkin
Cappuccino,Large,Whole,290,8,4.5,0,25,115,48,0,46,8,252,160,3.59,70.19498607,Dunkin
Cappuccino,Medium,Whole,220,6,3.5,0,20,85,36,0,35,6,166,80,2.69,61.71003717,Dunkin
Cappuccino,Medium,Whole,220,6,3.5,0,20,85,36,0,35,6,166,120,3.19,52.03761755,Dunkin
Cappuccino,Medium,Whole,220,6,3.5,0,20,85,36,0,35,6,166,160,3.59,46.23955432,Dunkin
Cappuccino,Small,Whole,150,4,2.5,0,10,60,24,0,23,4,118,80,2.69,43.866171,Dunkin
Cappuccino,Small,Whole,150,4,2.5,0,10,60,24,0,23,4,118,120,3.19,36.99059561,Dunkin
Cappuccino,Small,Whole,150,4,2.5,0,10,60,24,0,23,4,118,160,3.59,32.86908078,Dunkin
Iced Tea,Large,NA,140,0,0,0,0,25,35,0,33,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,140,0,0,0,0,25,35,0,33,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,140,0,0,0,0,25,35,0,33,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,100,0,0,0,0,20,26,0,25,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,100,0,0,0,0,20,26,0,25,0,67,5,1.29,51.9379845,Dunkin
Iced Tea,Medium,NA,100,0,0,0,0,20,26,0,25,0,67,5,1.59,42.13836478,Dunkin
Iced Tea,Small,NA,70,0,0,0,0,15,17,0,16,0,45,5,0.99,45.45454545,Dunkin
Iced Tea,Small,NA,70,0,0,0,0,15,17,0,16,0,45,5,1.29,34.88372093,Dunkin
Iced Tea,Small,NA,70,0,0,0,0,15,17,0,16,0,45,5,1.59,28.30188679,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,28,0,25,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,28,0,25,0,67,5,1.29,51.9379845,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,28,0,25,0,67,5,1.59,42.13836478,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,0.99,45.45454545,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,1.29,34.88372093,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,1.59,28.30188679,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,150,0,0,0,0,25,38,0,33,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,29,0,25,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,29,0,25,0,67,5,1.29,51.9379845,Dunkin
Iced Tea,Medium,NA,110,0,0,0,0,20,29,0,25,0,67,5,1.59,42.13836478,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,0.99,45.45454545,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,1.29,34.88372093,Dunkin
Iced Tea,Small,NA,80,0,0,0,0,15,19,0,17,0,45,5,1.59,28.30188679,Dunkin
Iced Tea,Large,NA,5,0,0,0,0,25,2,0,0,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,5,0,0,0,0,25,2,0,0,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,5,0,0,0,0,25,2,0,0,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,5,0,0,0,0,20,1,0,0,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,5,0,0,0,0,20,1,0,0,0,67,5,1.29,51.9379845,Dunkin
Iced Tea,Medium,NA,5,0,0,0,0,20,1,0,0,0,67,5,1.59,42.13836478,Dunkin
Iced Tea,Small,NA,5,0,0,0,0,15,1,0,0,0,45,5,0.99,45.45454545,Dunkin
Iced Tea,Small,NA,5,0,0,0,0,15,1,0,0,0,45,5,1.29,34.88372093,Dunkin
Iced Tea,Small,NA,5,0,0,0,0,15,1,0,0,0,45,5,1.59,28.30188679,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,15,0,0,0,0,20,3,0,0,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,15,0,0,0,0,20,3,0,0,0,67,5,1.29,51.9379845,Dunkin
Iced Tea,Medium,NA,15,0,0,0,0,20,3,0,0,0,67,5,1.59,42.13836478,Dunkin
Iced Tea,Small,NA,10,0,0,0,0,15,2,0,0,0,45,5,0.99,45.45454545,Dunkin
Iced Tea,Small,NA,10,0,0,0,0,15,2,0,0,0,45,5,1.29,34.88372093,Dunkin
Iced Tea,Small,NA,10,0,0,0,0,15,2,0,0,0,45,5,1.59,28.30188679,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,0.99,90.90909091,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,1.29,69.76744186,Dunkin
Iced Tea,Large,NA,20,0,0,0,0,25,5,0,0,0,90,5,1.59,56.60377358,Dunkin
Iced Tea,Medium,NA,15,0,0,0,0,20,4,0,0,0,67,5,0.99,67.67676768,Dunkin
Iced Tea,Medium,NA,15,0,0,0,0,20,4,0,0,0,67,5,1.29,51.9379845,Dunkin
