NAME,SIZE,SIZE,CALS,PRICE
Cappuccino,S,Small,80Cal,$2.69 
Cappuccino,M,Medium,120Cal,$3.19 
Cappuccino,L,Large,160Cal,$3.59 
Cinnamon Sugar Pumpkin Iced Signature Latte,S,Small,310Cal,$3.69 
Cinnamon Sugar Pumpkin Iced Signature Latte,M,Medium,420Cal,$4.19 
Cinnamon Sugar Pumpkin Iced Signature Latte,L,Large,540Cal,$4.59 
Cinnamon Sugar Pumpkin Signature Latte,S,Small,310Cal,$3.19 
Cinnamon Sugar Pumpkin Signature Latte,M,Medium,420Cal,$3.69 
Cinnamon Sugar Pumpkin Signature Latte,L,Large,540Cal,$4.09 
Hot Coffee,S,Small,5-130Cal,$1.79 
Hot Coffee,M,Medium,10-190Cal,$2.09 
Hot Coffee,L,Large,10-260Cal,$2.39 
Hot Coffee,XL,XLarge,15-320Cal,$2.69 
Coffee Coolatta,S,Small,400Cal,$2.99 
Coffee Coolatta,M,Medium,600Cal,$3.99 
Coffee Coolatta,L,Large,800Cal,$4.49 
Cold Brew,S,Small,10-140Cal,$2.59 
Cold Brew,M,Medium,15-200Cal,$3.09 
Cold Brew,L,Large,20-270Cal,$3.59 
"Coolatta (Strawberry, Orange, Vanilla Bean, Caramel, Mocha)",S,Small,240-420Cal,$2.99 
"Coolatta (Strawberry, Orange, Vanilla Bean, Caramel, Mocha)",M,Medium,360-630Cal,$3.99 
"Coolatta (Strawberry, Orange, Vanilla Bean, Caramel, Mocha)",L,Large,470-840Cal,$4.99 
"Cosmic Coolatta (Strawberry, Pineapple, Grape)",S,Small,230-260Cal,$2.99 
"Cosmic Coolatta (Strawberry, Pineapple, Grape)",M,Medium,350-400Cal,$3.99 
"Cosmic Coolatta (Strawberry, Pineapple, Grape)",L,Large,460-530Cal,$4.99 
Espresso,,,5Cal,$1.19 
Frozen Chocolate -Original Hot Chocolate,S,Small,500Cal,$2.99 
Frozen Chocolate -Original Hot Chocolate,M,Medium,700Cal,$3.99 
Frozen Chocolate -Original Hot Chocolate,L,Large,920Cal,$4.99 
"Hot Chocolate (Original, Mint, Dunkaccino)",S,Small,210-240Cal,$1.99 
"Hot Chocolate (Original, Mint, Dunkaccino)",M,Medium,300-350Cal,$2.39 
"Hot Chocolate (Original, Mint, Dunkaccino)",L,Large,410-490Cal,$2.79 
"Hot Chocolate (Original, Mint, Dunkaccino)",XL,XLarge,500Cal,$2.99 
"Iced Coffee (Original Blend, Dark Roast, Decaf)",S,Small,10-130Cal,$2.19 
"Iced Coffee (Original Blend, Dark Roast, Decaf)",M,Medium,15-200Cal,$2.69 
"Iced Coffee (Original Blend, Dark Roast, Decaf)",L,Large,20-270Cal,$3.19 
Iced Latte (Regular or Decaf),S,Small,127Cal,$3.19 
Iced Latte (Regular or Decaf),M,Medium,170Cal,$3.69 
Iced Latte (Regular or Decaf),L,Large,230Cal,$4.09 
Iced Macchiato (Regular or Decaf),S,Small,80Cal,$3.39 
Iced Macchiato (Regular or Decaf),M,Medium,120Cal,$3.89 
Iced Macchiato (Regular or Decaf),L,Large,160Cal,$4.39 
Iced Tea (Green),S,Small,70Cal,$1.49 
Iced Tea (Green),M,Medium,120Cal,$1.99 
Iced Tea (Green),L,Large,150Cal,$2.49 
Iced Tea,S,Small,5-70Cal,$0.99 
Iced Tea,M,Medium,5-110Cal,$1.29 
Iced Tea,L,Large,10-140Cal,$1.59 
Iced Tea,S,Small,5Cal,$0.99 
Iced Tea,M,Medium,5Cal,$1.29 
Iced Tea,L,Large,5Cal,$1.59 
Latte,S,Small,120Cal,$2.69 
Latte,M,Medium,170Cal,$3.19 
Latte,L,Large,230Cal,$3.59 
Macchiato,S,Small,80Cal,$2.99 
Macchiato,M,Medium,120Cal,$3.59 
Macchiato,L,Large,160Cal,$4.19 
Pumpkin Coffee,S,Small,110-170Cal,$1.79 
Pumpkin Coffee,M,Medium,170-250Cal,$2.09 
Pumpkin Coffee,L,Large,220-340Cal,$2.39 
Pumpkin Frozen Coffee,S,Small,630Cal,$2.99 
Pumpkin Frozen Coffee,M,Medium,890Cal,$3.99 
Pumpkin Frozen Coffee,L,Large,1160Cal,$4.99 
Pumpkin Iced Coffee,S,Small,110-170Cal,$2.19 
Pumpkin Iced Coffee,M,Medium,170-250Cal,$2.69 
Pumpkin Iced Coffee,L,Large,220-340Cal,$3.19 
Pumpkin Latte,S,Small,120Cal,$3.09 
Pumpkin Latte,M,Medium,170Cal,$3.59 
Pumpkin Latte,L,Large,230Cal,$3.99 
"Smoothies (Strawberry Banana, Mango, Orange, Wildberry)",S,Small,280-290Cal,$3.79 
"Smoothies (Strawberry Banana, Mango, Orange, Wildberry)",M,Medium,420-440Cal,$3.99 
"Smoothies (Strawberry Banana, Mango, Orange, Wildberry)",L,Large,560-590Cal,$4.99 
Sweet Tea,S,Small,160Cal,$1.49 
Sweet Tea,M,Medium,230Cal,$1.99 
Sweet Tea,L,Large,310Cal,$2.49 
"Tea (Black, Green)",S,Small,0Cal,$1.39 
"Tea (Black, Green)",M,Medium,0Cal,$1.59 
"Tea (Black, Green)",L,Large,0Cal,$1.79 
"Tea (Black, Green)",XL,XLarge,0Cal,$1.99 
Vanilla Chai,M,Medium,330Cal,$2.99 
