NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Iced Green Tea Sweetened -Medium,Medium,NA,100,0,0,0,0,10,25,0,25,1,6,0,0,0
Iced Green Tea Sweetened - Small,Small,NA,70,0,0,0,0,10,16,0,16,1,5,0,0,0
Iced Green Tea Unsweetened -Large,Large,NA,5,0,0,0,0,15,0,0,0,1,10,0.01,0,0
Iced Green Tea Unsweetened -Medium,Medium,NA,5,0,0,0,0,10,0,0,0,1,6,0,0,0
Iced Green Tea Unsweetened -Small,Small,NA,5,0,0,0,0,10,0,0,0,1,5,0,0,0
Iced Tea Sweetened - Large,Large,NA,140,0,0,0,0,25,35,0,33,0,10,0.01,0,0
Iced Tea Sweetened - Medium,Medium,NA,100,0,0,0,0,20,26,0,25,0,6,0,0,0
Iced Tea Sweetened - Small,Small,NA,70,0,0,0,0,15,17,0,16,0,5,0,0,0
Iced Tea Sweetened Blueberry Flavored Tea - Large,Large,NA,150,0,0,0,0,25,38,0,33,0,10,0.01,0,0
Iced Tea Sweetened Blueberry Flavored Tea - Medium,Medium,NA,110,0,0,0,0,20,28,0,25,0,6,0,0,0
Iced Tea Sweetened Blueberry Flavored Tea - Small,Small,NA,80,0,0,0,0,15,19,0,17,0,5,0,0,0
Iced Tea Sweetened Raspberry Flavored - Large,Large,NA,150,0,0,0,0,25,38,0,33,0,10,0.01,0,0
Iced Tea Sweetened Raspberry Flavored - Medium,Medium,NA,110,0,0,0,0,20,29,0,25,0,6,0,0,0
Iced Tea Sweetened Raspberry Flavored - Small,Small,NA,80,0,0,0,0,15,19,0,17,0,5,0,0,0
Iced Tea Unsweetened - Large,Large,NA,5,0,0,0,0,25,2,0,0,0,10,0.01,0,0
Iced Tea Unsweetened - Medium,Medium,NA,5,0,0,0,0,20,1,0,0,0,6,0,0,0
Iced Tea Unsweetened - Small,Small,NA,5,0,0,0,0,15,1,0,0,0,5,0,0,0
Iced Tea Unsweetened Blueberry Flavored Tea - Large,Large,NA,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0
Iced Tea Unsweetened Blueberry Flavored Tea - Medium,Medium,NA,15,0,0,0,0,20,3,0,0,0,6,0,0,0
Iced Tea Unsweetened Blueberry Flavored Tea - Small,Small,NA,10,0,0,0,0,15,2,0,0,0,5,0,0,0
Iced Tea Unsweetened Raspberry Flavored - Large,Large,NA,20,0,0,0,0,25,5,0,0,0,10,0.01,0,0
Iced Tea Unsweetened Raspberry Flavored - Medium,Medium,NA,15,0,0,0,0,20,4,0,0,0,6,0,0,0
Iced Tea Unsweetened Raspberry Flavored - Small,Small,NA,10,0,0,0,0,15,3,0,0,0,5,0,0,0
Sweet Tea - Large,Large,NA,310,0,0,0,0,25,79,0,78,0,10,0.01,0,0
Sweet Tea - Medium,Medium,NA,230,0,0,0,0,20,60,0,58,0,7,0.01,0,0
Sweet Tea - Small,Small,NA,150,0,0,0,0,15,40,0,39,0,5,0,0,0
Sweet Tea Blueberry Flavored -Large,Large,NA,330,0,0,0,0,30,86,0,81,0,10,0.01,0,0
Sweet Tea Blueberry Flavored -Medium,Medium,NA,250,0,0,0,0,20,64,0,60,0,7,0.01,0,0
Sweet Tea Blueberry Flavored -Small,Small,NA,170,0,0,0,0,15,43,0,40,0,5,0,0,0
Sweet Tea Raspberry Flavored -Large,Large,NA,330,0,0,0,0,30,86,0,81,0,10,0.01,0,0
