"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"1","Iced Green Tea Sweetened ","Medium",NA,"709",100,0,0,0,0,10,25,0,25,1,6,0,0,0,NA
"2","Iced Green Tea Sweetened ","Small",NA,"354",70,0,0,0,0,10,16,0,16,1,5,0,0,0,NA
"3","Iced Green Tea Unsweetened ","Large",NA,"946",5,0,0,0,0,15,0,0,0,1,10,0.01,0,0,NA
"4","Iced Green Tea Unsweetened ","Medium",NA,"709",5,0,0,0,0,10,0,0,0,1,6,0,0,0,NA
"5","Iced Green Tea Unsweetened ","Small",NA,"354",5,0,0,0,0,10,0,0,0,1,5,0,0,0,NA
"6","Iced Tea Sweetened ","Large",NA,"946",140,0,0,0,0,25,35,0,33,0,10,0.01,0,0,NA
"7","Iced Tea Sweetened ","Medium",NA,"709",100,0,0,0,0,20,26,0,25,0,6,0,0,0,NA
"8","Iced Tea Sweetened ","Small",NA,"354",70,0,0,0,0,15,17,0,16,0,5,0,0,0,NA
"9","Iced Tea Sweetened Blueberry Flavored Tea ","Large",NA,"946",150,0,0,0,0,25,38,0,33,0,10,0.01,0,0,NA
"10","Iced Tea Sweetened Blueberry Flavored Tea ","Medium",NA,"709",110,0,0,0,0,20,28,0,25,0,6,0,0,0,NA
"11","Iced Tea Sweetened Blueberry Flavored Tea ","Small",NA,"354",80,0,0,0,0,15,19,0,17,0,5,0,0,0,NA
"12","Iced Tea Sweetened Raspberry Flavored ","Large",NA,"946",150,0,0,0,0,25,38,0,33,0,10,0.01,0,0,NA
"13","Iced Tea Sweetened Raspberry Flavored ","Medium",NA,"709",110,0,0,0,0,20,29,0,25,0,6,0,0,0,NA
"14","Iced Tea Sweetened Raspberry Flavored ","Small",NA,"354",80,0,0,0,0,15,19,0,17,0,5,0,0,0,NA
"15","Iced Tea Unsweetened ","Large",NA,"946",5,0,0,0,0,25,2,0,0,0,10,0.01,0,0,NA
"16","Iced Tea Unsweetened ","Medium",NA,"709",5,0,0,0,0,20,1,0,0,0,6,0,0,0,NA
"17","Iced Tea Unsweetened ","Small",NA,"354",5,0,0,0,0,15,1,0,0,0,5,0,0,0,NA
"18","Iced Tea Unsweetened Blueberry Flavored Tea ","Large",NA,"946",20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,NA
"19","Iced Tea Unsweetened Blueberry Flavored Tea ","Medium",NA,"709",15,0,0,0,0,20,3,0,0,0,6,0,0,0,NA
"20","Iced Tea Unsweetened Blueberry Flavored Tea ","Small",NA,"354",10,0,0,0,0,15,2,0,0,0,5,0,0,0,NA
"21","Iced Tea Unsweetened Raspberry Flavored ","Large",NA,"946",20,0,0,0,0,25,5,0,0,0,10,0.01,0,0,NA
"22","Iced Tea Unsweetened Raspberry Flavored ","Medium",NA,"709",15,0,0,0,0,20,4,0,0,0,6,0,0,0,NA
"23","Iced Tea Unsweetened Raspberry Flavored ","Small",NA,"354",10,0,0,0,0,15,3,0,0,0,5,0,0,0,NA
"24","Sweet Iced Tea ","Large",NA,"946",310,0,0,0,0,25,79,0,78,0,10,0.01,0,0,NA
"25","Sweet Iced Tea ","Medium",NA,"709",230,0,0,0,0,20,60,0,58,0,7,0.01,0,0,NA
"26","Sweet Iced Tea ","Small",NA,"354",150,0,0,0,0,15,40,0,39,0,5,0,0,0,NA
"27","Sweet Iced Tea Blueberry Flavored ","Large",NA,"946",330,0,0,0,0,30,86,0,81,0,10,0.01,0,0,NA
"28","Sweet Iced Tea Blueberry Flavored ","Medium",NA,"709",250,0,0,0,0,20,64,0,60,0,7,0.01,0,0,NA
"29","Sweet Iced Tea Blueberry Flavored ","Small",NA,"354",170,0,0,0,0,15,43,0,40,0,5,0,0,0,NA
"30","Sweet Iced Tea Raspberry Flavored ","Large",NA,"946",330,0,0,0,0,30,86,0,81,0,10,0.01,0,0,NA
"31","Sweet Iced Tea Raspberry Flavored ","Medium",NA,"709",250,0,0,0,0,20,65,0,60,0,7,0.01,0,0,NA
"32","Sweet Iced Tea Raspberry Flavored ","Small",NA,"354",170,0,0,0,0,15,43,0,40,0,5,0,0,0,NA
"33","Caramel Swirl Iced Macchiato with Skim Milk ","Large","Nonfat","946",310,0,0,0,10,200,66,0,63,11,420,0.32,0,0,NA
"34","Caramel Swirl Iced Macchiato with Skim Milk ","Medium","Nonfat","709",240,0,0,0,5,150,49,0,47,8,314,0.24,0,0,NA
"35","Caramel Swirl Iced Macchiato with Skim Milk ","Small","Nonfat","354",160,0,0,0,5,105,33,0,32,6,211,0.16,0,0,NA
