,NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg
1,Coffee,Small,NA,0,0,0,0,0,0,0,0,0,0,109
2,Coffee,Large,NA,0,0,0,0,0,0,0,0,0,0,180
3,Iced Coffee Caramel,Small,NA,130,5,3.5,0,20,80,21,0,20,1,109
4,Iced Coffee Caramel,Medium,NA,190,8,5,0,30,115,27,0,27,2,133
5,Iced Coffee Caramel,Large,NA,270,11,7,0,40,160,41,0,41,2,200
6,Iced Coffee Hazelnut,Small,NA,130,5,3.5,0,20,40,21,0,21,1,109
7,Iced Coffee Hazelnut,Medium,NA,190,8,5,0,30,60,29,0,29,2,133
8,Iced Coffee Hazelnut,Large,NA,270,11,7,0,40,85,43,0,43,2,200
9,Iced Coffee Regular,Small,NA,140,5,3.5,0,20,40,22,0,22,1,109
10,Iced Coffee Regular,Medium,NA,200,8,5,0,30,60,30,0,30,2,133
11,Iced Coffee Regular,Large,NA,280,11,7,0,40,85,45,0,45,2,200
12,Iced Coffee Vanilla,Small,NA,130,5,3.5,0,20,40,21,0,21,1,109
13,Iced Coffee Vanilla,Medium,NA,190,8,5,0,30,60,29,0,28,2,133
14,Iced Coffee Vanilla,Large,NA,270,11,7,0,40,80,43,0,43,2,200
15,Iced Coffee with Sugar Free Vanilla Syrup,Small,NA,60,5,3.5,0,20,70,8,0,1,1,109
16,Iced Coffee with Sugar Free Vanilla Syrup,Medium,NA,90,8,5,0,30,100,11,0,2,2,133
17,Iced Coffee with Sugar Free Vanilla Syrup,Large,NA,120,11,7,0,40,140,16,0,2,2,200
18,Nonfat Cappuccino,Small,Nonfat,60,0,0,0,5,85,9,0,9,6,71
19,Nonfat Cappuccino ,Medium,Nonfat,80,0,0,0,5,110,12,0,12,8,142
20,Nonfat Cappuccino ,Large,Nonfat,90,0,0,0,5,130,13,0,13,9,178
21,Nonfat Latte,Small,Nonfat,90,0,0,0,5,115,13,0,13,9,71
22,Nonfat Latte,Medium,Nonfat,110,0,0,0,5,140,15,0,15,10,142
23,Nonfat Latte,Large,Nonfat,120,0,0,0,5,160,18,0,18,12,178
24,Nonfat Caramel Cappuccino,Small,Nonfat,150,0,0,0,5,120,33,0,32,5,71
25,Nonfat Caramel Cappuccino,Medium,Nonfat,190,0,0,0,5,150,41,0,41,6,142
26,Nonfat Caramel Cappuccino,Large,Nonfat,230,0,0,0,5,180,49,0,49,7,178
27,Nonfat Caramel Latte,Small,Nonfat,170,0,0,0,5,150,36,0,36,7,71
28,Nonfat Caramel Latte,Medium,Nonfat,220,0,0,0,5,180,45,0,45,9,142
29,Nonfat Caramel Latte,Large,Nonfat,260,0,0,0,5,220,53,0,53,10,178
30,Nonfat Hazelnut Cappuccino,Small,Nonfat,150,0,0,0,5,70,34,0,34,5,71
31,Nonfat Hazelnut Cappuccino,Medium,Nonfat,190,0,0,0,5,90,43,0,43,6,142
32,Nonfat Hazelnut Cappuccino,Large,Nonfat,230,0,0,0,5,100,51,0,51,7,178
33,Nonfat Hazelnut Latte,Small,Nonfat,180,0,0,0,5,95,37,0,37,7,71
34,Nonfat Hazelnut Latte,Medium,Nonfat,220,0,0,0,5,115,46,0,46,9,142
35,Nonfat Hazelnut Latte,Large,Nonfat,260,0,0,0,5,135,55,0,55,10,178
36,Nonfat Vanilla Cappuccino,Small,Nonfat,150,0,0,0,5,70,34,0,34,5,71
37,Nonfat Vanilla Cappuccino,Medium,Nonfat,190,0,0,0,5,90,42,0,42,6,142
38,Nonfat Vanilla Cappuccino,Large,Nonfat,230,0,0,0,5,100,51,0,51,7,178
39,Nonfat Vanilla Latte,Small,Nonfat,180,0,0,0,5,95,37,0,37,7,71
40,Nonfat Vanilla Latte,Medium,Nonfat,220,0,0,0,5,115,46,0,46,9,142
41,Nonfat Vanilla Latte,Large,Nonfat,260,0,0,0,5,135,55,0,55,10,178
42,Nonfat Cappuccino with Sugar Free Vanilla Syrup,Small,Nonfat,50,0,0,0,5,100,15,0,8,5,71
43,Nonfat Cappuccino with Sugar Free Vanilla Syrup,Medium,Nonfat,70,0,0,0,5,130,19,0,10,7,142
44,Nonfat Cappuccino with Sugar Free Vanilla Syrup,Large,Nonfat,80,0,0,0,5,150,22,0,11,8,178
45,Nonfat Latte with Sugar Free Vanilla Syrup,Small,Nonfat,80,0,0,0,5,130,18,0,11,7,71
46,Nonfat Latte with Sugar Free Vanilla Syrup,Medium,Nonfat,90,0,0,0,5,160,22,0,13,9,142
47,Nonfat Latte with Sugar Free Vanilla Syrup,Large,Nonfat,110,0,0,0,5,190,27,0,15,11,178
48,Mocha with Nonfat Milk,Small,Nonfat,240,5,3,0,5,130,41,0,34,7,86
49,Mocha with Nonfat Milk,Medium,Nonfat,280,6,3.5,0,10,160,50,0,42,8,167
50,Mocha with Nonfat Milk,Large,Nonfat,330,6,3.5,0,10,190,58,0,50,10,200
51,Hot Chocolate with Nonfat Milk,Small,Nonfat,250,5,3,0,10,140,43,0,37,8,7
52,Hot Chocolate with Nonfat Milk,Medium,Nonfat,310,6,3.5,0,10,190,55,0,47,11,10
53,Hot Chocolate with Nonfat Milk,Large,Nonfat,390,6,3.5,0,10,250,68,0,59,16,12
54,Iced Nonfat Latte,Small,Nonfat,50,0,0,0,5,70,7,0,7,5,71
55,Iced Nonfat Latte,Medium,Nonfat,60,0,0,0,5,90,9,0,9,6,142
56,Iced Nonfat Latte,Large,Nonfat,70,0,0,0,5,105,11,0,11,7,178
57,Iced Nonfat Caramel Latte,Small,Nonfat,140,0,0,0,0,105,30,0,30,3,71
58,Iced Nonfat Caramel Latte,Medium,Nonfat,150,0,0,0,5,120,32,0,32,5,142
59,Iced Nonfat Caramel Latte,Large,Nonfat,190,0,0,0,5,150,40,0,40,6,178
60,Iced Nonfat Hazelnut Latte,Small,Nonfat,140,0,0,0,0,50,32,0,32,3,71
61,Iced Nonfat Hazelnut Latte,Medium,Nonfat,150,0,0,0,5,70,33,0,33,5,142
62,Iced Nonfat Hazelnut Latte,Large,Nonfat,190,0,0,0,5,80,42,0,42,6,178
63,Iced Nonfat Vanilla Latte,Small,Nonfat,140,0,0,0,0,50,31,0,31,3,71
64,Iced Nonfat Vanilla Latte,Medium,Nonfat,150,0,0,0,5,70,33,0,33,5,142
65,Iced Nonfat Vanilla Latte,Large,Nonfat,190,0,0,0,5,85,41,0,41,6,178
66,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Small,Nonfat,40,0,0,0,0,85,13,0,5,4,71
67,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Medium,Nonfat,50,0,0,0,5,100,14,0,6,5,142
68,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Large,Nonfat,60,0,0,0,5,130,19,0,8,6,178
69,Iced Mocha with Nonfat Milk,Medium,Nonfat,270,8,4.5,0,10,140,43,0,35,7,167
70,Iced Nonfat Caramel Mocha,Large,Nonfat,300,6,4,0,10,230,49,0,45,11,200
71,Iced Nonfat Caramel Mocha,Medium,Nonfat,240,6,4,0,10,190,37,0,34,9,167
72,Iced Nonfat Caramel Mocha,Small,Nonfat,200,6,4,0,10,140,29,0,26,6,86
73,Nonfat Caramel Mocha,Large,Nonfat,280,4,2.5,0,10,260,49,0,46,12,200
