NAME,SIZE,CALS,PRICE
Vanilla Cone,,200,1.29
Caramel Sundae,,330,2.69
Hot Fudge Sundae,,330,2.69
Plain Sundae,,210,2.69
Chocolate Shake,S,520,2.79
Chocolate Shake,M,620,3.59
Chocolate Shake,L,830,3.89
Strawberry Shake,S,530,2.79
Strawberry Shake,M,620,3.59
Strawberry Shake,L,840,3.89
Vanilla Shake,S,510,2.79
Vanilla Shake,M,610,3.59
Vanilla Shake,L,820,3.89
Shamrock Shake,S,460,2.79
Shamrock Shake,M,560,3.59
Shamrock Shake,L,800,3.89
M&M McFlurry Snack,,420,2.59
M&M McFlurry Regular,,640,3.39
Oreo McFlurry Snack,,340,2.59
Oreo McFlurry Regular,,510,3.39
Oreo Shamrock McFlurry Snack,,370,2.59
Oreo Shamrock McFlurry Regular,,560,3.39
Premium Roast Coffee,S,0,1.19
Premium Roast Coffee,M,0,1.39
Premium Roast Coffee,L,0,1.59
Decaf Coffee,S,0,1.19
Decaf Coffee,M,0,1.39
Decaf Coffee,L,0,1.59
Hot Tea,S,10,1
Hot Tea,M,15,1.39
Hot Tea,L,0,1.19
Iced Coffee,S,140,1.49
Iced Coffee,M,180,1.69
Iced Coffee,L,260,1.99
Iced Caramel Coffee,S,140,1.49
Iced Caramel Coffee,M,180,1.69
Iced Caramel Coffee,L,270,1.99
Iced Hazelnut Coffee,S,130,1.49
Iced Hazelnut Coffee,M,170,1.69
Iced Hazelnut Coffee,L,240,1.99
Iced French Vanilla Coffee,S,120,1.49
Iced French Vanilla Coffee,M,170,1.69
Iced French Vanilla Coffee,L,230,1.99
Iced French Vanilla Coffee,M,190,1.69
Iced French Vanilla Coffee,L,270,1.99
Nonfat Peppermint Hot Chocolate,,330,2.39
Premium Hot Chocolate,S,370,2
Premium Hot Chocolate,M,450,2.39
Premium Hot Chocolate,L,560,2.89
Caramel Hot Chocolate,S,350,2
Caramel Hot Chocolate,M,420,2.39
Caramel Hot Chocolate,L,520,2.89
Mocha Frapp,S,420,2
Mocha Frapp,M,510,3.29
Mocha Frapp,L,670,3.89
Caramel Frapp,S,420,2
Caramel Frapp,M,510,3.29
Caramel Frapp,L,670,3.89
Caramel Macchiato,S,260,2
Caramel Macchiato,M,320,2.79
Caramel Macchiato,L,400,3.19
Iced Caramel Macchiato,S,210,2
Iced Caramel Macchiato,M,250,2.79
Iced Caramel Macchiato,L,370,3.19
Mocha,S,300,2
Mocha,M,380,2.99
Mocha,L,470,3.39
Iced Mocha,S,280,2
Iced Mocha,M,330,2.99
Iced Mocha,L,460,3.39
Caramel Mocha,S,280,2
Caramel Mocha,M,330,2.99
Caramel Mocha,L,420,3.39
Iced Caramel Mocha,S,230,2
Iced Caramel Mocha,M,300,2.99
Iced Caramel Mocha,L,410,3.39
Latte,S,140,2
Latte,M,190,2.99
Latte,L,250,3.39
Caramel Latte,S,250,2
Caramel Latte,M,320,2.99
Caramel Latte,L,400,3.39
Hazelnut Latte,S,230,2
Hazelnut Latte,M,300,2.99
Hazelnut Latte,L,370,3.39
French Vanilla Latte,S,230,2
French Vanilla Latte,M,290,2.99
French Vanilla Latte,L,360,3.39
Iced Latte,S,90,2
Iced Latte,M,120,2.79
Iced Latte,L,170,3.19
Iced Hazelnut Latte,S,170,2
Iced Hazelnut Latte,M,200,2.79
Iced Hazelnut Latte,L,310,3.19
Iced Caramel Latte,S,180,2
Iced Caramel Latte,M,220,2.79
Iced Caramel Latte,L,330,3.19
