NAME,SIZE,ROAST,MILK,WHIP,SERVING_SIZE_ml,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,VIT_A_pcdv,VIT_C_pcdv,CALCIUM_pcdv,IRON_pcdv,CAFFEINE_mg
Brewed Coffee,Short,Dark,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,130
Brewed Coffee,Tall,Dark,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,193
Brewed Coffee,Grande,Dark,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,260
Brewed Coffee,Venti,Dark,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,340
Brewed Coffee,1 - 236 serving,Dark,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,130
Brewed Coffee,Short,Decaf,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,15
Brewed Coffee,Tall,Decaf,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,20
Brewed Coffee,Grande,Decaf,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,25
Brewed Coffee,Venti,Decaf,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,30
Brewed Coffee,1 - 236 serving,Decaf,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,15
Brewed Coffee,Short,Medium,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,155
Brewed Coffee,Tall,Medium,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,235
Brewed Coffee,Grande,Medium,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,310
Brewed Coffee,Venti,Medium,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,410
Brewed Coffee,1 - 236 serving,Medium,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,155
Brewed Coffee,Short,Blonde,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,180
Brewed Coffee,Tall,Blonde,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,270
Brewed Coffee,Grande,Blonde,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,360
Brewed Coffee,Venti,Blonde,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,475
Brewed Coffee,1 - 236 serving,Blonde,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,180
Caffe Misto,Short,NA,Nonfat,NA,236,35,0.1,0.1,0,0,45,5,0,5,4,0.06,0,0.1,0,75
Caffe Misto,Short,NA,2%,NA,236,50,2,1,0.1,10,50,5,0,5,4,0.06,0,0.1,0,75
Caffe Misto,Short,NA,Whole,NA,236,70,3.5,2,0.1,10,50,5,0,5,3,0.04,0,0.1,0,75
Caffe Misto,Short,NA,Soy,NA,236,40,1.5,0.2,0,0,40,3,0,2,3,0.04,0,0.1,0.06,75
Caffe Misto,Short,NA,Coconut,NA,236,40,2.5,2.5,0,0,45,4,0,3,0.4,0,0,0,0,75
Caffe Misto,Tall,NA,Nonfat,NA,354,60,0.2,0.1,0,5,70,8,0,8,6,0.1,0,0.2,0,115
Caffe Misto,Tall,NA,2%,NA,354,80,3,1.5,0.1,15,80,8,0,8,5,0.08,0,0.2,0,115
Caffe Misto,Tall,NA,Whole,NA,354,100,5,3,0.2,15,70,8,0,8,5,0.08,0,0.15,0,115
Caffe Misto,Tall,NA,Soy,NA,354,60,2.5,0.3,0,0,60,5,1,4,4,0.06,0,0.2,0.08,115
Caffe Misto,Tall,NA,Coconut,NA,354,60,3.5,3.5,0,0,70,6,0,5,1,0,0,0,0,115
Caffe Misto,Grande,NA,Nonfat,NA,473,70,0.2,0.1,0,5,90,10,0,10,7,0.15,0,0.25,0,150
Caffe Misto,Grande,NA,2%,NA,473,110,4,2,0.1,15,100,10,0,10,7,0.1,0,0.25,0,150
Caffe Misto,Grande,NA,Whole,NA,473,130,7,4,0.2,20,95,10,0,10,7,0.1,0,0.2,0,150
