menu_item,size,cals,price
Pumpkin Spice Latte,Short,210,4.75
Pumpkin Spice Latte,Tall,310,4.85
Pumpkin Spice Latte,Grande,390,5.45
Pumpkin Spice Latte,Venti,470,5.75
Pumpkin Cream Cold Brew,Tall,140,4.25
Pumpkin Cream Cold Brew,Grande,250,4.75
Pumpkin Cream Cold Brew,Venti,310,4.95
Pumpkin Cream Cold Brew,Trenta,360,5.25
Pumpkin Spice Frappuccino®,Tall,290,4.95
Pumpkin Spice Frappuccino®,Grande,420,5.45
Pumpkin Spice Frappuccino®,Venti,510,5.95
Apple Crisp Macchiato,Short,140,4.75
Apple Crisp Macchiato,Tall,220,4.85
Apple Crisp Macchiato,Grande,300,5.45
Apple Crisp Macchiato,Venti,370,5.75
Iced Apple Crisp Macchiato,Tall,210,4.85
Iced Apple Crisp Macchiato,Grande,280,5.45
Iced Apple Crisp Macchiato,Venti,380,5.95
Apple Crisp Frappuccino®,Tall,320,4.95
Apple Crisp Frappuccino®,Grande,460,5.45
Apple Crisp Frappuccino®,Venti,550,5.95
Pumpkin Scone,,500,3.25
Fox Cake Pop,,140,2.25
Freshly Brewed Coffee,Short,5,2.15
Freshly Brewed Coffee,Tall,5,2.25
Freshly Brewed Coffee,Grande,5,2.65
Freshly Brewed Coffee,Venti,5,2.95
Freshly Brewed Coffee Traveler Pack,96oz,60,17.95
Caffè Misto,Short,50,2.85
Caffè Misto,Tall,80,2.95
Caffè Misto,Grande,110,3.35
Caffè Misto,Venti,130,3.65
Caffè Americano,Short,5,2.65
Caffè Americano,Tall,10,2.95
Caffè Americano,Grande,15,3.45
Caffè Americano,Venti,20,3.65
Cappuccino,Short,70,3.35
Cappuccino,Tall,100,3.45
Cappuccino,Grande,140,4.25
Cappuccino,Venti,200,4.75
Espresso,Solo,5,2.45
Espresso,Doppio,10,2.65
Espresso,Triple,15,2.95
Espresso,Quad,20,3.25
Espresso Con Panna,Solo,30,2.55
Espresso Con Panna,Doppio,35,2.75
Espresso Con Panna,Triple,40,3.05
Espresso Con Panna,Quad,45,3.35
Flat White,Short,110,4.15
Flat White,Tall,170,4.25
Flat White,Grande,220,4.75
Flat White,Venti,290,5.25
Honey Almondmilk Flat White,Short,80,4.85
Honey Almondmilk Flat White,Tall,120,4.95
Honey Almondmilk Flat White,Grande,170,5.45
Honey Almondmilk Flat White,Venti,210,5.95
Caffè Latte,Short,100,3.35
Caffè Latte,Tall,150,3.45
Caffè Latte,Grande,190,4.25
